,zipcode,population,density,land_area,wealthy,dist_to_centre,dist_to_south
0,90001,0.549705463365803,0.3227311690043366,0.014381077962749298,0.062167964639023375,0.1125347426912476,0.11836185579807808
3,90002,0.4930408501135795,0.3310856662620008,0.012567990769737927,0.05789938960218901,0.14102207599793753,0.11743838008141046
6,90003,0.6378354445000578,0.3691978798431729,0.014587110598318772,0.058918122500526214,0.12371028407835526,0.08877029874633474
9,90004,0.5985061409925693,0.4032252070948144,0.01252678424262403,0.12064828457166912,0.07577886256613031,0.13488580101728426
12,90005,0.3626939514110808,0.6900736740562954,0.004409098401186748,0.08248368764470639,0.07111447783664986,0.11398298308717705
15,90006,0.5696781272860278,0.6096873981436212,0.007870446678753914,0.056720690380972424,0.05451247817693583,0.11076009492375924
18,90007,0.39387055788703657,0.3276690839880782,0.010136805670018132,0.05397600505156809,0.049689413498436696,0.10353889945584784
21,90008,0.3111596658067994,0.17421924777038225,0.01508158892368551,0.11112607872026943,0.13632338886168974,0.033427613335425294
24,90010,0.0365764447695684,0.16338890424115465,0.001854293720125268,0.27174068617133235,0.07122190921838632,0.11983544989685835
27,90011,1.0,0.4789846655707359,0.017636393604746992,0.05500315723005683,0.05718035602947071,0.11476611480517288
30,90012,0.2993782004389173,0.1904568307611057,0.013268501730674138,0.0781898547674174,0.007175630503347075,0.17021110947633514
33,90013,0.11330997574404188,0.3475139525272433,0.002719630789517059,0.0825931382866765,0.0,0.15377199132071434
36,90014,0.06742578831863859,0.4948196110303312,0.0011125762320751606,0.11055356766996424,0.004179171223455874,0.14461198789847746
39,90015,0.1827474685250068,0.21960092313394566,0.007005109609362122,0.08733319301199748,0.02323906897405837,0.127086415440072
42,90016,0.4581295961190467,0.2593346970915267,0.01491676281522993,0.10091349189644286,0.13013749033950486,0.05360378296248607
45,90017,0.2287760366534478,0.6439713911181438,0.0029668699522004283,0.08126289202273206,0.017283977353258016,0.1406649326937705
48,90018,0.4746274977861626,0.3363053683611991,0.011908686335915608,0.08207114291728057,0.08887289016976642,0.07724115140583976
51,90019,0.6204327570939052,0.3277359028010499,0.015988132520191194,0.11385392548937065,0.10956736083494813,0.08794012887468193
54,90020,0.3750721903515189,0.6820486023567616,0.004615131036756222,0.11374447484740055,0.07309174316145563,0.12297496196645345
57,90021,0.03802987718014862,0.0377514362957194,0.008488544585462336,0.08833508735003158,0.020415733507758885,0.14891967925846258
60,90023,0.44183382743618377,0.2151421053152652,0.017347947914949726,0.0709071774363292,0.058636668668760425,0.18358788326783504
63,90024,0.4567435413698841,0.31923021219688363,0.012073512444371187,0.22328772889917914,0.2318547903111069,0.11921655579268192
66,90025,0.40568089939552615,0.3243622760233355,0.010548870941157078,0.0,0.24632670139479745,0.10620168470363277
69,90026,0.6532649289646941,0.3173422364871062,0.017389154442063622,0.1184255946116607,0.032887382418385215,0.17222329937111558
72,90027,0.4345955415238902,0.10811454412770778,0.03399538486896324,0.1831951168175121,0.11063364330811133,0.1997446099351608
75,90028,0.27638316713510186,0.3736344422325202,0.006222185594198121,0.11118501368133027,0.11488426243891856,0.16050631495849504
78,90029,0.3717033072806376,0.561612052038914,0.005562881160375803,0.08761944853715008,0.07338865339641143,0.1568659880275421
81,90031,0.3784314480421977,0.2253964266366749,0.014175045327179826,0.08492527888865503,0.04680540815979865,0.21170055378808086
84,90032,0.4407076579524891,0.1898502267466255,0.019614306906213942,0.10187328983371922,0.0816032578522101,0.2423983140286447
87,90033,0.4702190736534093,0.2954822456941001,0.013433327839129715,0.061553357187960435,0.027781955193381547,0.18772802357060847
90,90034,0.5579255380587533,0.3686334612370768,0.0127740234053074,0.18071984845295727,0.18197574051629015,0.0625548039428043
93,90035,0.2735340545951565,0.27284945134562605,0.008447338058348445,0.20975794569564304,0.1648712965954874,0.0844406586998811
96,90036,0.3548396411658261,0.29519845506403963,0.010136805670018132,0.2441422858345612,0.12592157447230354,0.10752760210783624
99,90037,0.599430177492011,0.4337097298221079,0.011661447173232238,0.05791622816249211,0.07750072652949434,0.08729063089666174
102,90038,0.278337119316213,0.3642926239043036,0.006428218229767595,0.09610608292990948,0.111952893229894,0.14339992272089747
105,90039,0.27445809109459823,0.14959379862800853,0.01549365419482446,0.1907303725531467,0.07748122722710751,0.2051737504807507
108,90041,0.26397605205405617,0.15025752452648247,0.01483434976100214,0.1661376552304778,0.11531080590743713,0.2608278716647129
111,90042,0.6009124860431987,0.2661167124669142,0.019078622053733302,0.11487265838770785,0.10868850155789532,0.2643747204651255
114,90043,0.4311111538905787,0.2144954626447212,0.016977089170924668,0.11566407072195327,0.1299894005046121,0.032667993359565335
117,90044,0.8641570092018636,0.34546848861246404,0.021138948409428048,0.06545148389812673,0.15784775704111728,0.07039999660654732
120,90045,0.38001001039541066,0.07277365998289992,0.044173397066095264,0.23166491264996844,0.22489831057337947,0.004057635081689572
123,90046,0.467610595618527,0.1662399528406568,0.02377616614471732,0.2399158071984845,0.16619364846456744,0.1710092221710307
126,90047,0.4678512301235899,0.2032476519745721,0.01944948079775836,0.10399494843190908,0.16007720240550138,0.05298479081685933
129,90048,0.20595426019327764,0.2239174180816031,0.00774682709741223,0.29646811197642603,0.15343222625305175,0.11561052512278333
132,90049,0.3415277403457437,0.04672345550022671,0.061850997197956135,0.5039865291517576,0.3156197172307253,0.1957303456632204
135,90056,0.07533785084510837,0.0979794601279044,0.0064694247568814894,0.2502210061039781,0.17036354629789446,0.000812320814647674
138,90057,0.4331228583529049,1.0,0.0036261743860227453,0.05208166701747001,0.0341453428415648,0.13871471500976545
141,90058,0.031022600392715517,0.010971877962218091,0.023899785726059,0.10354030730372554,0.061480802312303025,0.15170712334748154
144,90059,0.3941785700535171,0.2447056055797847,0.013598153947585295,0.06382656282887814,0.17481657567343287,0.12899864970362193
147,90061,0.2586532168020637,0.1998090474864881,0.010919729685182131,0.07484740054725321,0.1920307400378994,0.1076836241510026
150,90062,0.3159146036268433,0.3363498941921886,0.007911653205867808,0.07702799410650389,0.09774777053499764,0.06135716639422525
153,90063,0.5366919493319986,0.3372533172728166,0.013433327839129715,0.0720521995369396,0.06199302311533186,0.21006671060178247
156,90064,0.24451353328456474,0.12560930485799365,0.016441404318444038,0.36639865291517576,0.21380852829946065,0.0821925348446803
159,90065,0.43821468448003703,0.17054221770125805,0.021715839789022574,0.13869080193643446,0.07698111752846007,0.22819956733838515
162,90066,0.5320621414545875,0.22221642551773751,0.020232404812922364,0.19965480951378656,0.2381479450238641,0.05701731687851645
165,90067,0.023331921610903632,0.14528322470897692,0.0013186088676446347,0.21890128394022312,0.20374388002843985,0.10120189848468523
168,90068,0.21451122319331611,0.057846082164748285,0.03135816713367397,0.2882677331088192,0.13973476288005193,0.18880269447251946
171,90069,0.1971566626881762,0.1920029515793119,0.008653370693917915,0.4717406861713324,0.16842298012773838,0.14146263258208236
174,90071,0.00014438070303777,0.0024723321036490505,0.00045327179825284316,0.21890128394022312,0.0014500969120041958,0.14991648441018351
177,90077,0.09025719015901128,0.025302109834561687,0.03016317784737102,0.5595032624710587,0.26724174673193496,0.175953779094004
180,90079,0.0,0.0,0.0,0.0,0.01041888004323415,0.13909525238800638
183,90094,0.05259307742655835,0.1771648867454218,0.00247239162683369,0.3570195748263524,0.2370780784763041,0.024337340296938074
186,90201,0.9748488815308204,0.3372327584181443,0.02443547057853964,0.07138707640496737,0.14236475219043396,0.19776956875730936
189,90210,0.20926539098294386,0.04244894157191235,0.04170100543926158,0.6145232582614187,0.21167929923268036,0.15939311714636242
192,90211,0.08118045662803683,0.2383045595677269,0.0028432503708587433,0.4703178278257209,0.16608609127874932,0.1051837826359287
195,90212,0.11122126824009547,0.2380649788138732,0.00391462007582001,1.0,0.18751536083195705,0.10259280175767084
198,90220,0.4748007546298079,0.14119270391756916,0.028432503708587437,0.08725741949063355,0.2484999809176664,0.17342485062414548
201,90230,0.30575982751318675,0.13931015805679067,0.018542937201252677,0.20278678173016207,0.20282268598067746,0.016583833680055008
204,90232,0.14581488468794518,0.1420032570167942,0.008653370693917915,0.25859818985476746,0.17728203509661075,0.04933248695711849
207,90241,0.4081064952065607,0.17010046062899167,0.020273611340036257,0.1323679225426226,0.2135800917359907,0.2542816640591513
210,90245,0.16030108189273476,0.060328525793657585,0.022457557277072684,0.330465165228373,0.2785994654085437,0.057051095715710286
213,90247,0.4570804296769722,0.2504610871594293,0.015411241140596669,0.11595032624710587,0.24699007993138514,0.12024970770047487
216,90248,0.09574365687444654,0.04194846470788418,0.019284654689302783,0.18383498210902968,0.2773213443316716,0.1429119345171111
219,90254,0.1877526662303161,0.2697919441330259,0.005851326850173067,0.4071984845295728,0.3389344473458287,0.12659387268076935
222,90255,0.7225387902822161,0.3991141541774616,0.015287621559254987,0.0794274889496948,0.10642023565530252,0.14496085717081555
225,90266,0.3381877334154699,0.17637642327250638,0.016194165155760668,0.0,0.3012308739182734,0.08582127393028681
228,90272,0.22124898933507875,0.019913806652466785,0.09403329487390802,0.6413386655440961,0.3709149684540587,0.22210666587280228
231,90278,0.3856986100950988,0.22015293272293585,0.014793143233888247,0.2860955588297201,0.3156493107579371,0.1160695792056621
234,90291,0.27279290031956266,0.2242187652784568,0.010260425251359815,0.239814775836666,0.2844380314035345,0.08742633422219362
237,90292,0.2076772032495284,0.2091883822287526,0.008364925004120652,0.3439191749105452,0.28576615228262314,0.06860876203679607
240,90293,0.11677511261694835,0.08390023239572107,0.011743860227460028,0.3323174068617133,0.28534751027829064,0.059528902521841225
243,90302,0.283130558657067,0.3078249685876691,0.00774682709741223,0.10970322037465798,0.16833792495941266,0.0
246,90303,0.2519539521811112,0.2332099644869101,0.009106642492170759,0.08953062513155126,0.19608753330090206,0.04145666221723053
249,90304,0.2715319755130328,0.3553859293958713,0.006428218229767595,0.07929278046727005,0.21447908610073327,0.019714566100252715
252,90305,0.14296577214799985,0.12662603012241158,0.009518707763309708,0.15712060618817092,0.164257056517107,0.027792764045340698
255,90401,0.064701805721326,0.1564142720068604,0.0034613482775671662,0.3525236792254263,0.31083080898810056,0.12307500211444172
258,90402,0.1179109074808455,0.12114427307880347,0.008200098895665073,0.5913281414439066,0.32090813887095937,0.1486909195942633
261,90403,0.23606244946675395,0.3392108802349257,0.005851326850173067,0.3427909913702379,0.3072910922214456,0.13231337621480416
264,90404,0.2055981211257845,0.21229754264902,0.008158892368551178,0.29737739423279314,0.2778356934647335,0.1106409389380894
267,90405,0.26167558618565434,0.20290662813525465,0.010878523158068237,0.3347926752262681,0.27559956476471514,0.09149302289093172
270,90501,0.4156239171447272,0.1519648401929765,0.023116861710895,0.15769311723847612,0.3384386400348922,0.1764943853337578
273,90502,0.17335309744734914,0.15973704461603372,0.009147849019284652,0.16793938118290888,0.3251894792293877,0.18304408360034427
276,90603,0.19311400300311865,0.12135143485140283,0.013433327839129715,0.19124394864239108,0.3440153568308127,0.4066648544846395
279,90670,0.14309090209063258,0.034755261515694365,0.03481951541124114,0.1472953062513155,0.2626306414002779,0.31907661843447593
282,90710,0.24503330381550076,0.21334968936472495,0.009683533871765286,0.1423531888023574,0.3824002631453087,0.22697103135560176
285,90715,0.19624225156893696,0.23720426790210286,0.006963903082248228,0.14261418648705534,0.3697816281749517,0.3519894248283493
288,90717,0.20519385515727875,0.21295020519430488,0.00811768584143728,0.16764470637760473,0.3894832491506324,0.2199390824430092
291,90723,0.5207234435760213,0.22863366576976066,0.019243448162188887,0.09282256367080616,0.2421069308794292,0.23065509573058546
294,90731,0.5742694336426291,0.12840415927565588,0.037827591890555456,0.1327552094295938,0.4861699987843931,0.3307956823489391
297,90732,0.2032399029761676,0.12140300550825513,0.014133838800065931,0.217267943590823,0.4772906921316172,0.3009746272677998
300,90744,0.5179898355985062,0.12762451046318818,0.034325037085874394,0.09193011997474217,0.39270015134374014,0.2538740828257884
303,90745,0.5510626419743581,0.13642745567808362,0.034160210977418816,0.14287518417175332,0.33556398906305185,0.21303375123961613
306,90804,0.3880087013437031,0.377866083147666,0.008653370693917915,0.11045253630814568,0.4162538125490469,0.3354773971918705
309,90805,0.9002040580602935,0.2509876663898766,0.0303280039558266,0.09767206903809723,0.2853392242642765,0.24027345916085455
312,90810,0.3535883417394987,0.10844312815229597,0.027567166639195645,0.11425805093664493,0.3539187726457612,0.24931609125596774
315,90813,0.5670407731105379,0.3629845646307021,0.013186088676446349,0.062159545358871825,0.3980750320643587,0.2964128637470324
318,90814,0.18414314865437184,0.28028554355502205,0.00552167463326191,0.21813512944643235,0.433078349262196,0.3507481989471974
321,90831,0.0,0.0,0.0001236195813416845,0.0,0.4213678288549907,0.31035190486814923
324,91030,0.2465637392677011,0.1485777341163028,0.014010219218724244,0.2478130919806357,0.12758584626076425,0.28452477766150025
327,91040,0.1960882454856967,0.04913790206393996,0.03374814570627987,0.1830688276152389,0.3529165165603653,0.4094716349970309
330,91103,0.26450544796519465,0.10121368522648183,0.022086698533047632,0.15630393601347087,0.19602929719103135,0.3401940262516233
333,91105,0.10832402879913756,0.06032222329423615,0.0151640019779133,0.39837507893075147,0.1521570698669463,0.3027158477403515
336,91201,0.21927578639356252,0.19092270390925087,0.009683533871765286,0.13636708061460745,0.16688782843357042,0.2514770906200625
339,91203,0.12724752627728794,0.3188705405877117,0.0033377286962254817,0.1398105661965902,0.14210508690506726,0.25343514834137737
342,91204,0.15431409540676858,0.2831173448978684,0.004573924509642328,0.1056282887813092,0.11908030733379267,0.23506989138382275
345,91205,0.3639356254572056,0.3956777855617803,0.00774682709741223,0.10182277415280994,0.11110418093341264,0.2389119461482297
348,91206,0.3182631963962577,0.11122130749272903,0.024188231415856267,0.16729109661123975,0.14512385635828176,0.28267457301861115
351,91214,0.2921880414276364,0.07952329890158473,0.031069721443876708,0.2059776889075984,0.2710618325287822,0.3715579939461255
354,91302,0.24745889962653525,0.019044550128153846,0.1099802208669853,0.43390444117028004,0.5571967948684039,0.3877379706242649
357,91303,0.2584895853386209,0.24590547645738986,0.00885940332948739,0.10201641759629552,0.4863286020208667,0.3744335194409744
360,91304,0.4834924729526817,0.10557935294231284,0.03873413548706114,0.14997263733950747,0.5698257038070133,0.4442256555351998
363,91306,0.4337292573056636,0.21527682497107214,0.017018295698038564,0.13074300147337406,0.4644175700533018,0.3648764345370461
366,91307,0.2355715550764255,0.060132030712752166,0.03313004779957145,0.2246516522837297,0.5951117934568546,0.4553583375436733
369,91311,0.3518750240634505,0.022538913893540728,0.13214933245426072,0.20745948221427069,0.5616104517094668,0.4649675190738139
372,91316,0.2589034766873292,0.10618888450930486,0.020603263556947412,0.2557272153230899,0.3666437013817727,0.2757681895974237
375,91321,0.3357525122242329,0.026658389007569148,0.10660128564364592,0.14142706798568724,0.5480421145915523,0.5258178127050608
378,91324,0.2663246448234705,0.12465960268950448,0.018048458875885937,0.1519090717743633,0.4696352226951062,0.393078153494266
381,91325,0.31202595002502603,0.13302172581575314,0.019820339541783416,0.1571711218690802,0.43357481396634573,0.37407599425127946
384,91326,0.3244523158664767,0.08170330446059039,0.03358331959782429,0.2296442854135972,0.5271599194365053,0.4570759007145592
387,91331,0.9980460478188888,0.2317321071143651,0.036426569968683035,0.08471479688486636,0.3756784004810422,0.3685238135715593
390,91335,0.7157721479998459,0.2242073563703102,0.02699027525960112,0.11423279309619028,0.42521122463477296,0.3418418722073717
393,91340,0.3290724983636853,0.2000570176557485,0.01388659963738256,0.09629972637339508,0.42246828192597097,0.4154864405498648
396,91342,0.8828879990759635,0.032925540792335256,0.22700675787044666,0.1186023994948432,0.3990092194176923,0.4253424444597405
399,91343,0.5799676587225195,0.20164859366940086,0.024311850997197952,0.11314670595664073,0.3990962767488336,0.3582082977384181
402,91344,0.4980845493396989,0.06236966209263981,0.06757870446678753,0.17929699010734584,0.4594369493700343,0.4179008593133228
405,91345,0.17803103222577293,0.1129092705903527,0.013309708257788034,0.12985055777731005,0.4080215938696599,0.3854523879393685
408,91352,0.46016055134177797,0.0810246998314654,0.04804681061480138,0.10402020627236372,0.2901187005297925,0.3281777271670405
411,91356,0.2835444500057752,0.07948699493510912,0.03016317784737102,0.2344685329404336,0.4051615057170246,0.3031579712554889
414,91364,0.24882570361529285,0.06736469798306363,0.031234547552332282,0.33543254051778576,0.453214120872794,0.3250275253528498
417,91367,0.3801928926192585,0.10500499544304716,0.030616449645623864,0.2195832456324984,0.4733287243431577,0.3533463632118608
420,91401,0.3781330612559196,0.22521870537241265,0.014175045327179826,0.13422858345611452,0.29500172591780743,0.2657392759296605
423,91402,0.6720151695991992,0.3702108535774065,0.015328828086368882,0.08154072826773312,0.3507600605122967,0.3292256374056098
426,91403,0.2260424286759327,0.12795646748670922,0.01491676281522993,0.3710713533992844,0.2897561210427711,0.2263782696098903
429,91405,0.4922900704577831,0.3056131128486543,0.013598153947585295,0.08985055777731005,0.3416892511267913,0.3050420801135936
432,91406,0.49626535248142295,0.12543025692490795,0.033459700016482616,0.1255819827404757,0.37784590816108266,0.3145529663686261
435,91411,0.2370538636276133,0.23877880411242675,0.008364925004120652,0.11497368974952643,0.3224697862812203,0.27536322615055986
438,91423,0.2983001578562353,0.1405872371086013,0.017924839294544255,0.276598610818775,0.26828216241271946,0.22544350340280184
441,91436,0.1383359642705887,0.049869974727921616,0.02344651392780616,0.8617049042306884,0.3372150192244181,0.2574481232915919
444,91501,0.20067955184229774,0.10387033154454216,0.016317784737102353,0.1704904230688276,0.2260634552190388,0.3044314528570689
447,91502,0.10945019828283216,0.16910008030432092,0.005439261579034118,0.13244369606398654,0.19384849429170653,0.2651548326287399
450,91504,0.2400473568705964,0.09985018677393306,0.02031481786715016,0.18733740265207327,0.2433558753250364,0.2977263385337553
453,91505,0.296249951873099,0.12078323410493727,0.0207268831382891,0.22782572090086295,0.19330147916921045,0.23692163553676734
456,91601,0.35787163592961924,0.27749828713561264,0.010878523158068237,0.1312734161229215,0.2169983970109192,0.2403320376754903
459,91602,0.168184268278597,0.16858169306169699,0.008406131531234547,0.2674300147337403,0.19549190171118486,0.21724120066743927
462,91604,0.2794632887999076,0.1115055383259752,0.021180154936541944,0.3089875815617765,0.22140355922062607,0.20210256881636607
465,91605,0.5423227967504717,0.20410052412585852,0.022457557277072684,0.0903978109871606,0.29460030732163345,0.2987098282528156
468,91606,0.4327378431448041,0.2670296858038535,0.013680567001813086,0.10209219111765944,0.2634707294830416,0.2698324957402675
471,91607,0.26880799291572016,0.2263764546183837,0.010013186088676443,0.18440749315933488,0.2497870711481343,0.2434688380389333
474,91608,0.0,0.0,0.002431185099719795,0.0,0.16612363591733706,0.1930764011320717
477,91767,0.4626727755746352,0.1691673445668364,0.023116861710895,0.1013344559040202,0.6215304502162291,0.7037381669443842
480,93536,0.6826127132021715,0.005779648049003531,1.0,0.14400336771206065,1.0,1.0
483,93551,0.4889500635275094,0.013736891025558052,0.3013433327839129,0.18162071142917285,0.8138162992792819,0.8483615608955631
